esperimento,ore,curtailment_MWh,ore_con_curtailment,costo_finale_EUR
A_baseline (0.50/0.50),6529,0.000,0,9676295.76
B_vuoto (0.10/0.00),6529,0.000,0,9680058.87
C_pieno (0.90/1.00),6529,0.000,0,9672532.65
"D_penalita_bassa (0.90/1.00, lambda=0.01)",6529,0.000,0,9672511.34
