hour,P_pv_actual_MW,P_wind_actual_MW,P_renewable_actual_MW,P_load_actual_MW,purchase_price_EUR_MWh,selling_price_EUR_MWh,P_import_MW,P_export_MW,P_curtailment_MW,P_charge_MW,P_discharge_MW,P_electrolyzer_MW,P_fuel_cell_MW,SoC,SoH,hourly_market_cost_EUR,cumulative_market_cost_EUR,power_balance_error_MW,objective_24h
865.0,0.0,0.6320062315432498,0.6320062315432498,3.707510574416246,468.68,202.81,3.0755043428729967,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.1,-0.0,1441.4273754177161,2048647.0696770842,0.0,58635.05749139047
866.0,0.0,0.48570759329213387,0.48570759329213387,3.3326174143651737,468.68,192.39,3.689015084230935,0.0,0.0,0.8421052631578948,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,-0.0,1728.9675896773547,2050376.0372667615,0.0,58865.28915811686
867.0,0.0,0.38088114431485925,0.38088114431485925,3.4445199324960987,468.68,190.87,3.0636387881812395,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,-0.0,1435.8662272447834,2051811.9034940063,0.0,58680.16997262147
868.0,0.0,0.7869073514020128,0.7869073514020128,4.591027635935686,468.68,190.87,3.804120284533673,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.9,-0.0,1782.9150949552418,2053594.8185889614,0.0,59348.686948955845
869.0,0.0,0.5735077371060218,0.5735077371060218,5.050340792040917,468.68,196.0,4.476833054934896,0.0,0.0,0.0,0.0,1.4788889005473062e-15,7.017327833096967e-16,0.9,-0.0,2098.202116186887,2055693.0207051483,0.0,59521.45179419624
870.0,0.0,0.3937635278152239,0.3937635278152239,4.889916500467981,548.5799999999999,206.89,4.496152972652757,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,2466.499597737849,2058159.5203028861,0.0,59870.37738991918
871.0,0.0,0.3214435633647523,0.3214435633647523,4.595235486207204,532.76,208.56,4.273791922842453,0.0,0.0,0.0,0.0,3.1690476440299422e-15,1.5037131070922076e-15,0.9,-0.0,2276.9053848135454,2060436.4256876996,0.0,60512.617500789725
872.0,0.5026749972905997,0.3349250228293773,0.837600020119977,5.275197790878299,532.76,210.0,4.437597770758322,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,2364.1745883492035,2062800.6002760488,0.0,62506.42779851488
873.0,1.0424759997106636,0.21026402036796302,1.2527400200786267,6.550044927564754,532.76,208.65,5.297304907486127,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2822.1921625123086,2065622.792438561,-8.881784197001252e-16,64223.18706858067
874.0,1.3285838114773105,0.3939689291516044,1.722552740628915,6.0406320541790866,532.76,206.89,4.318079313550172,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,2300.4999350869894,2067923.2923736481,0.0,64585.379301878
875.0,1.5240036779563655,0.3387976318555561,1.8628013098119216,7.360582085953333,532.76,208.0,5.497780776141411,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2928.9976862970984,2070852.2900599453,-1.7763568394002505e-15,65912.26429433249
876.0,1.5915367176521387,0.2086478284043511,1.8001845460564898,7.135725087115951,532.76,198.82,5.335540541059461,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2842.5625786548385,2073694.8526386002,-8.881784197001252e-16,66801.4299614912
877.0,1.5168397026959715,0.4641270536277846,1.980966756323756,7.067873501501111,532.76,189.37,5.086906745177355,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2710.1004375606876,2076404.9530761607,-8.881784197001252e-16,67471.98799284505
878.0,1.7782275169505073,0.7539637741230778,2.532191291073585,6.955839488042983,532.76,190.33,4.423648196969398,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,2356.7428134174165,2078761.6958895782,0.0,67839.10006753249
879.0,1.1468863196263084,0.39039991047993455,1.5372862301062429,7.101799294308532,532.76,197.12,5.5645130642022895,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2964.549980084412,2081726.2458696626,0.0,69171.34082210124
880.0,0.5806140027179787,0.5878868393878297,1.1685008421058085,6.519275022464801,532.76,208.3,5.350774180358993,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2850.678452328057,2084576.9243219907,0.0,70421.62774862329
881.0,0.0,0.026532446542710086,0.026532446542710086,5.942010563456641,532.76,216.33,5.915478116913931,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3151.530121567066,2087728.4544435577,-8.881784197001252e-16,71435.5697398321
882.0,0.0,0.4476460631664946,0.4476460631664946,5.11385303206086,548.5799999999999,250.0,3.906206968894366,0.0,0.0,0.0,0.76,1.1883928665112282e-15,5.638924151595776e-16,0.1,0.0,2142.8670189960712,2089871.3214625537,0.0,72487.45277614148
883.0,0.0,0.0,0.0,5.710841789215807,548.5799999999999,247.53,5.710841789215806,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,0.0,3132.8535887280063,2093004.1750512817,-8.881784197001252e-16,73734.99098011747
884.0,0.0,0.03604938360615762,0.03604938360615762,4.602336233535607,548.5799999999999,216.33,4.566286849929448,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,0.0,2504.9736401342966,2095509.148691416,-8.881784197001252e-16,73456.60151737888
885.0,0.0,0.01975303752476637,0.01975303752476637,4.297267088911758,548.5799999999999,204.62,4.277514051386992,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.1,0.0,2346.5586583098757,2097855.707349726,-8.881784197001252e-16,74010.80951228677
886.0,0.0,0.02172839559823199,0.02172839559823199,6.21420587784095,468.68,198.9,7.034582745400613,0.0,0.0,0.8421052631578948,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,-0.0,3296.968241114359,2101152.67559084,-8.881784197001252e-16,73883.1173523686
887.0,0.0,0.026172790769698546,0.026172790769698546,5.15080321725237,468.68,186.8,5.12463042648267,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.9,0.0,2401.811788283898,2103554.487379124,-8.881784197001252e-16,73065.01160593989
888.0,0.0,0.02123456842554491,0.02123456842554491,4.198645598193137,468.68,178.0,4.177411029767592,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,1957.8690014314752,2105512.3563805553,0.0,72751.88815677777
889.0,0.0,0.010370370626428904,0.010370370626428904,3.165092375463835,468.68,172.0,3.154722004837406,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,1478.5551092271955,2106990.9114897824,0.0,71968.59402976268
890.0,0.0,0.0,0.0,3.322360779329304,468.68,168.74,3.322360779329304,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,1557.1240500560582,2108548.0355398385,0.0,72425.80544041452
891.0,0.0,0.0,0.0,3.6182252514851654,468.68,154.94151,3.6182252514851654,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,0.0,1695.7898108660672,2110243.8253507046,0.0,72033.1830956532
892.0,0.0,0.0,0.0,4.759473142077699,468.68,162.45,4.759473142077699,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,-0.0,2230.6698722289757,2112474.4952229336,0.0,71824.95943947013
893.0,0.0,0.0,0.0,5.050209296721366,468.68,176.0,5.050209296721366,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,2366.93209318737,2114841.427316121,-8.881784197001252e-16,71937.60727573537
894.0,0.0,0.0,0.0,4.703061649389986,548.5799999999999,203.76087,4.703061649389987,0.0,0.0,0.0,0.0,1.4788889005473062e-15,7.017327833096967e-16,0.9,0.0,2580.0055596223588,2117421.432875743,0.0,72647.03820480617
895.0,0.0,0.0,0.0,7.398715729032271,532.76,233.17892,7.398715729032271,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3941.7397917992325,2121363.1726675425,-8.881784197001252e-16,71219.84734818111
896.0,0.14657279566871773,0.0,0.14657279566871773,7.887615332353855,532.76,245.29089,7.741042536685137,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,4124.117821844374,2125487.2904893868,-8.881784197001252e-16,70079.29767599535
897.0,0.7252410248071585,0.0,0.7252410248071585,7.806482719322884,532.76,239.58605,7.081241694515725,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3772.6023251701977,2129259.892814557,-8.881784197001252e-16,68675.8570260503
898.0,1.2179284213571513,0.0,1.2179284213571513,6.751495759273514,532.76,223.42925,5.533567337916363,0.0,0.0,0.0,0.0,1.5318878149205754e-15,3.1064248783290325e-16,0.9,3.201832925745459e-17,2948.0633349483214,2132207.9561495055,-8.881784197001252e-16,67206.05869429259
899.0,1.0338151884300102,0.0,1.0338151884300102,8.026342895967622,532.76,213.43569,6.9925277075376115,0.0,0.0,0.0,0.0,6.338095288059884e-16,7.169809017653511e-16,0.9,0.0,3725.339061467738,2135933.2952109734,0.0,66237.95945056558
900.0,1.090116724839805,0.0,1.090116724839805,7.700628985948657,532.76,204.55466,6.610512261108852,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3521.8165122283517,2139455.111723202,-8.881784197001252e-16,64787.02455082053
901.0,0.9073176656478648,0.013827111452521277,0.921144777100386,8.278156435603568,532.76,200.05536,7.357011658503183,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3919.5215311841557,2143374.633254386,0.0,64291.49914618956
902.0,0.8061567287284012,0.019259259734796544,0.8254159884631977,7.483924697011383,532.76,200.97778,6.658508708548184,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.9,0.0,3547.3870995661305,2146922.020353952,-8.881784197001252e-16,63274.81383299896
903.0,0.6949109895817562,0.023703704288980353,0.7186146938707366,8.324179797935864,532.76,203.8516,7.6055651040651275,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,4051.9408648417375,2150973.961218794,0.0,62337.371408252984
904.0,0.31178665981276416,0.03407407491540926,0.3458607347281734,6.960047338314501,532.76,211.73455,6.614186603586328,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3523.774054926652,2154497.7352737207,-8.881784197001252e-16,60139.22367598734
905.0,0.0,0.3028442920464623,0.3028442920464623,6.75254772184522,532.76,217.90853,6.449703429798758,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,3436.143999259586,2157933.87927298,-8.881784197001252e-16,58849.84838082292
906.0,0.0,0.0,0.0,5.791842906919573,548.5799999999999,233.17048,5.0318429069195725,0.0,0.0,0.0,0.76,-5.017658769714075e-16,-2.380879086229328e-16,0.1,0.0,2760.3683818779386,2160694.247654858,0.0,58805.65166761488
907.0,0.0,0.18047316402176572,0.18047316402176572,5.265993118414136,548.5799999999999,236.68793,5.085519954392369,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,0.0,2789.8145365805653,2163484.0621914384,-8.881784197001252e-16,58305.316488748074
908.0,0.0,0.0,0.0,5.311227508821478,548.5799999999999,225.53844,5.311227508821477,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,0.0,2913.6331867892854,2166397.6953782276,-8.881784197001252e-16,58274.51291607715
909.0,0.0,0.016790074488643825,0.016790074488643825,4.285958491308009,548.5799999999999,210.77085,4.269168416819365,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.1,0.0,2341.980410098767,2168739.675788326,-8.881784197001252e-16,58006.15786762103
910.0,0.0,0.0,0.0,5.530956190142839,468.68,201.30484,5.530956190142838,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,0.0,2592.2485471961454,2171331.924335522,-8.881784197001252e-16,58775.36856683038
911.0,0.0,0.0,0.0,4.756448749697438,468.68,188.82221,5.598554012855333,0.0,0.0,0.8421052631578948,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,-0.0,2623.9302947450374,2173955.8546302672,-8.881784197001252e-16,58963.03077455397
912.0,0.0,0.0,0.0,3.7136908545001464,468.68,184.0,3.713690854500147,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,0.0,1740.5326296871287,2175696.3872599546,4.440892098500626e-16,59128.88497582077
913.0,0.0,0.0,0.0,3.319204891625666,468.68,179.88082,3.319204891625666,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,-0.0,1555.6449486071172,2177252.032208562,0.0,59969.06586384872
914.0,0.0,0.0,0.0,3.2371518113501936,468.68,174.68,3.237151811350194,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,-0.0,1517.188310943609,2178769.2205195054,4.440892098500626e-16,59871.13951333002
915.0,0.0,0.012839457107147095,0.012839457107147095,3.4568804926677266,468.68,170.88491,3.4440410355605797,0.0,0.0,0.0,0.0,6.338095288059884e-16,3.007426214184415e-16,0.9,-0.0,1614.1531525465325,2180383.373672052,4.440892098500626e-16,60569.47274890936
916.0,0.0,0.0,0.0,4.950535843434866,468.68,177.87687,4.950535843434865,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.9,-0.0,2320.217139101053,2182703.590811153,-8.881784197001252e-16,60413.66299447476
917.0,0.0,0.3701703703267176,0.3701703703267176,4.801683140108607,468.68,183.62,4.4315127697818895,0.0,0.0,0.0,0.0,-2.1126984293532947e-16,-1.0024754047281382e-16,0.9,-0.0,2076.961404941376,2184780.5522160945,0.0,59234.64580481718
918.0,0.0,0.6947384771011994,0.6947384771011994,4.6875452015147205,548.5799999999999,206.0,3.2328067244135212,0.0,0.0,0.0,0.76,3.433134947699104e-16,1.6290225326832248e-16,0.1,-0.0,1773.4531128787692,2186554.0053289733,0.0,59046.22791862473
919.0,0.0,0.5280194713686999,0.5280194713686999,7.160314712135832,532.76,240.11,6.632295240767131,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,-0.0,3533.4216124710965,2190087.426941444,-8.881784197001252e-16,60957.841956334865
920.0,0.5434666123796246,0.23971492294807278,0.7831815353276974,6.3652940016225195,532.76,250.50244,5.582112466294821,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,-0.0,2973.9262375432286,2193061.3531789873,-8.881784197001252e-16,59048.97646664835
921.0,0.8876330975087412,0.5073271593144366,1.3949602568231778,6.894168182512044,532.76,231.59669,5.499207925688865,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,-0.0,2929.75801449,2195991.111193477,-8.881784197001252e-16,58185.329035166746
922.0,1.264242378528236,0.0,1.264242378528236,5.83720879265412,532.76,204.63338,4.572966414125883,0.0,0.0,0.0,0.0,-1.0563492146766473e-15,-5.012377023640691e-16,0.1,-0.0,2436.2935867897054,2198427.404780267,-8.881784197001252e-16,57856.71448894235
